N участка	кадастровый номер	S участка	стоимость участка	стоимость 1 сотки	статус
1	50:07:0070121:1036	601	1 171 950,00	195 000,00	свободен
2	50:07:0070121:1164	601	1 171 950,00	195 000,00	свободен
3	50:07:0070121:987	600	1 170 000,00	195 000,00	свободен
4	50:07:0070121:1135	600	1 170 000,00	195 000,00	свободен
5	50:07:0070121:990	600	1 170 000,00	195 000,00	свободен
6	50:07:0070121:1186	601	781 300,00	130 000,00	продан
7	50:07:0070121:1024	601	0,00	0,00	продан
8	50:07:0070121:1102	600	1 170 000,00	195 000,00	свободен
9	50:07:0070121:1103	601	0,00	0,00	продан
10	50:07:0070121:1085	831	0,00	0,00	продан
11	50:07:0070121:1184	601	0,00	0,00	продан
12	50:07:0070121:1154	601	0,00	0,00	продан
13	50:07:0070121:1083	807	2 743 800,00	340 000,00	ТУ
14	50:07:0070121:1092	982	3 338 800,00	340 000,00	свободен
15	50:07:0070121:1183	601	0,00	0,00	продан
16	50:07:0070121:1000	601	0,00	0,00	продан
17	50:07:0070121:1005	601	0,00	0,00	продан
18	50:07:0070121:1134	601	1 171 950,00	195 000,00	свободен
19	50:07:0070121:1003	601	1 171 950,00	195 000,00	свободен
20	50:07:0070121:1125	600	1 170 000,00	195 000,00	свободен
21	50:07:0070121:998	601	781 300,00	130 000,00	свободен
22	50:07:0070121:1146	600	780 000,00	130 000,00	продан
23	50:07:0070121:1044	605	0,00	0,00	продан
24	50:07:0070121:1057	652	1 271 400,00	195 000,00	свободен
25	50:07:0070121:1042	602	1 173 900,00	195 000,00	свободен
26	50:07:0070121:1035	601	1 171 950,00	195 000,00	свободен
27	50:07:0070121:1113	600	1 170 000,00	195 000,00	свободен
28	50:07:0070121:1130	601	781 300,00	130 000,00	продан
29	50:07:0070121:1144	600	0,00	0,00	продан
30	50:07:0070121:989	601	0,00	0,00	продан
31	50:07:0070121:1147	600	0,00	0,00	продан
32	50:07:0070121:1006	601	0,00	0,00	продан
33	50:07:0070121:1126	600	0,00	0,00	продан
34	50:07:0070121:1117	600	0,00	0,00	продан
35	50:07:0070121:1079	792	2 692 800,00	340 000,00	ТУ
36	50:07:0070121:1068	705	2 326 500,00	330 000,00	продан
37	50:07:0070121:1047	617	1 203 150,00	195 000,00	свободен
38	50:07:0070121:1182	601	0,00	0,00	продан
39	50:07:0070121:988	601	0,00	0,00	продан
40	50:07:0070121:1038	602	0,00	0,00	продан
41	50:07:0070121:1058	653	0,00	0,00	продан
42	50:07:0070121:1059	664	0,00	0,00	продан
43	50:07:0070121:1088	895	1 745 250,00	195 000,00	свободен
44	50:07:0070121:1071	718	1 400 100,00	195 000,00	свободен
45	50:07:0070121:1064	689	1 343 550,00	195 000,00	свободен
46	50:07:0070121:1155	600	1 170 000,00	195 000,00	свободен
47	50:07:0070121:1052	639	1 246 050,00	195 000,00	свободен
48	50:07:0070121:1161	601	1 171 950,00	195 000,00	продан
49	50:07:0070121:1165	601	1 171 950,00	195 000,00	свободен
50	50:07:0070121:1118	601	1 171 950,00	195 000,00	свободен
51	50:07:0070121:1160	601	1 171 950,00	195 000,00	свободен
52	50:07:0070121:1056	650	2 210 000,00	340 000,00	свободен
53	50:07:0070121:1070	716	1 396 200,00	195 000,00	свободен
54	50:07:0070121:1009	601	781 300,00	130 000,00	ТУ
55	50:07:0070121:1028	601	0,00	0,00	продан
56	50:07:0070121:999	601	0,00	0,00	продан
57	50:07:0070121:1027	601	1 171 950,00	195 000,00	свободен
58	50:07:0070121:1016	601	1 171 950,00	195 000,00	свободен
59	50:07:0070121:1015	601	1 171 950,00	195 000,00	свободен
60	50:07:0070121:1151	600	1 170 000,00	195 000,00	свободен
61	50:07:0070121:1112	600	1 170 000,00	195 000,00	резерв
62	50:07:0070121:1055	648	1 263 600,00	195 000,00	резерв
63	50:07:0070121:1060	665	1 296 750,00	195 000,00	перераспределен
64	50:07:0070121:1167	601	1 171 950,00	195 000,00	резерв
65	50:07:0070121:1049	632	1 232 400,00	195 000,00	резерв
66	50:07:0070121:1054	646	0,00	0,00	продан
67	50:07:0070121:1061	672	1 310 400,00	195 000,00	резерв
68	50:07:0070121:1072	727	2 471 800,00	340 000,00	резерв
69	50:07:0070121:1078	785	2 669 000,00	340 000,00	ТУ
70	50:07:0070121:1136	600	1 170 000,00	195 000,00	резерв
71	50:07:0070121:1172	601	1 171 950,00	195 000,00	резерв
72	50:07:0070121:1025	601	1 171 950,00	195 000,00	резерв
73	50:07:0070121:1017	601	1 171 950,00	195 000,00	резерв
74	50:07:0070121:995	601	1 171 950,00	195 000,00	резерв
75	50:07:0070121:1152	601	1 171 950,00	195 000,00	резерв
76	50:07:0070121:1032	601	1 171 950,00	195 000,00	резерв
77	50:07:0070121:1140	601	1 171 950,00	195 000,00	резерв
78	50:07:0070121:1124	600	1 170 000,00	195 000,00	резерв
79	50:07:0070121:1043	604	1 177 800,00	195 000,00	резерв
80	50:07:0070121:1187	601	1 171 950,00	195 000,00	резерв
81	50:07:0070121:1031	601	1 171 950,00	195 000,00	резерв
82	50:07:0070121:1120	600	1 170 000,00	195 000,00	резерв
83	50:07:0070121:1041	602	1 173 900,00	195 000,00	резерв
84	50:07:0070121:1045	609	1 187 550,00	195 000,00	резерв
85	50:07:0070121:1116	600	1 170 000,00	195 000,00	резерв
86	50:07:0070121:1033	601	1 171 950,00	195 000,00	резерв
87	50:07:0070121:1039	602	1 173 900,00	195 000,00	резерв
88	50:07:0070121:1014	601	1 171 950,00	195 000,00	резерв
89	50:07:0070121:1099	1443	4 906 200,00	340 000,00	резерв
90	50:07:0070121:1097	758	2 577 200,00	340 000,00	ТУ
91	50:07:0070121:1065	690	1 345 500,00	195 000,00	резерв
92	50:07:0070121:1019	601	1 171 950,00	195 000,00	резерв
93	50:07:0070121:1123	601	1 171 950,00	195 000,00	резерв
94	50:07:0070121:1026	601	1 171 950,00	195 000,00	резерв
95	50:07:0070121:1004	601	1 171 950,00	195 000,00	резерв
96	50:07:0070121:1121	601	1 171 950,00	195 000,00	резерв
97	50:07:0070121:1149	600	1 170 000,00	195 000,00	резерв
98	50:07:0070121:1181	601	1 171 950,00	195 000,00	резерв
99	50:07:0070121:1142	601	1 171 950,00	195 000,00	резерв
100	50:07:0070121:1162	600	1 170 000,00	195 000,00	резерв
101	50:07:0070121:1131	601	1 171 950,00	195 000,00	резерв
102	50:07:0070121:1168	601	1 171 950,00	195 000,00	резерв
103	50:07:0070121:1022	601	1 171 950,00	195 000,00	резерв
104	50:07:0070121:1010	844	2 869 600,00	340 000,00	ТУ
105	50:07:0070121:1089	911	3 097 400,00	340 000,00	резерв
106	50:07:0070121:1067	701	1 366 950,00	195 000,00	резерв
107	50:07:0070121:991	601	1 171 950,00	195 000,00	резерв
108	50:07:0070121:1127	600	1 170 000,00	195 000,00	резерв
109	50:07:0070121:1066	700	1 365 000,00	195 000,00	резерв
110	50:07:0070121:1180	600	2 040 000,00	340 000,00	резерв
111	50:07:0070121:1001	601	1 171 950,00	195 000,00	резерв
112	50:07:0070121:1159	600	1 170 000,00	195 000,00	резерв
113	50:07:0070121:1090	927	3 151 800,00	340 000,00	резерв
114	50:07:0070121:1114	600	1 170 000,00	195 000,00	резерв
115	50:07:0070121:1173	601	2 043 400,00	340 000,00	резерв
116	50:07:0070121:1086	871	1 698 450,00	195 000,00	резерв
117	50:07:0070121:1080	795	2 703 000,00	340 000,00	резерв
118	50:07:0070121:1179	601	1 171 950,00	195 000,00	резерв
119	50:07:0070121:1148	601	1 171 950,00	195 000,00	резерв
120	50:07:0070121:1094	1025	3 485 000,00	340 000,00	резерв
121	50:07:0070121:1008	601	781 300,00	130 000,00	ТУ
122	50:07:0070121:1132	600	1 326 000,00	221 000,00	резерв
123	50:07:0070121:1012	601	1 328 210,00	221 000,00	резерв
124	50:07:0070121:1137	600	1 326 000,00	221 000,00	резерв
125	50:07:0070121:1178	601	1 328 210,00	221 000,00	резерв
126	50:07:0070121:1002	601	1 328 210,00	221 000,00	резерв
127	50:07:0070121:1138	600	1 326 000,00	221 000,00	резерв
128	50:07:0070121:1119	601	1 328 210,00	221 000,00	резерв
129	50:07:0070121:1096	600	1 326 000,00	221 000,00	резерв
130	50:07:0070121:1153	601	1 328 210,00	221 000,00	резерв
131	50:07:0070121:1098	1085	3 689 000,00	340 000,00	резерв
132	50:07:0070121:1082	801	2 723 400,00	340 000,00	резерв
133	50:07:0070121:1063	689	2 342 600,00	340 000,00	ТУ
134	50:07:0070121:1074	740	2 516 000,00	340 000,00	резерв
135	50:07:0070121:1046	617	2 097 800,00	340 000,00	резерв
136	50:07:0070121:1053	639	1 412 190,00	221 000,00	резерв
137	50:07:0070121:1050	638	1 409 980,00	221 000,00	резерв
138	50:07:0070121:997	601	1 328 210,00	221 000,00	резерв
139	50:07:0070121:1013	601	1 328 210,00	221 000,00	резерв
140	50:07:0070121:1034	601	1 328 210,00	221 000,00	резерв
141	50:07:0070121:1141	601	1 328 210,00	221 000,00	резерв
142	50:07:0070121:1037	602	1 330 420,00	221 000,00	резерв
143	50:07:0070121:1048	626	1 383 460,00	221 000,00	резерв
144	50:07:0070121:1030	601	1 328 210,00	221 000,00	резерв
145	50:07:0070121:1156	601	1 328 210,00	221 000,00	резерв
146	50:07:0070121:993	601	1 328 210,00	221 000,00	резерв
147	50:07:0070121:1157	600	1 326 000,00	221 000,00	резерв
148	50:07:0070121:1145	601	1 328 210,00	221 000,00	резерв
149	50:07:0070121:1076	748	1 653 080,00	221 000,00	резерв
150	50:07:0070121:1081	800	1 768 000,00	221 000,00	резерв
151	50:07:0070121:1069	711	2 417 400,00	340 000,00	резерв
152	50:07:0070121:1075	745	2 533 000,00	340 000,00	резерв
153	50:07:0070121:1093	1363	4 634 200,00	340 000,00	ТУ
154	50:07:0070121:1077	783	2 662 200,00	340 000,00	резерв
155	50:07:0070121:1011	601	1 328 210,00	221 000,00	резерв
156	50:07:0070121:1020	602	1 330 420,00	221 000,00	резерв
157	50:07:0070121:1023	601	1 328 210,00	221 000,00	резерв
158	50:07:0070121:1163	600	1 326 000,00	221 000,00	резерв
159	50:07:0070121:992	601	1 328 210,00	221 000,00	резерв
160	50:07:0070121:1021	601	1 328 210,00	221 000,00	резерв
161	50:07:0070121:1107	601	1 328 210,00	221 000,00	резерв
162	50:07:0070121:1084	601	1 328 210,00	221 000,00	резерв
163	50:07:0070121:1106	600	1 326 000,00	221 000,00	резерв
164	50:07:0070121:1105	601	1 328 210,00	221 000,00	резерв
165	50:07:0070121:986	601	1 328 210,00	221 000,00	резерв
166	50:07:0070121:1150	946	2 090 660,00	221 000,00	резерв
167	50:07:0070121:1169	923	2 039 830,00	221 000,00	резерв
168	50:07:0070121:1128	918	2 028 780,00	221 000,00	резерв
169	50:07:0070121:1129	902	1 993 420,00	221 000,00	резерв
170	50:07:0070121:1108	939	2 075 190,00	221 000,00	резерв
171	50:07:0070121:1158	935	2 066 350,00	221 000,00	резерв
172	50:07:0070121:1143	917	2 026 570,00	221 000,00	резерв
173	50:07:0070121:1104	912	1 778 400,00	195 000,00	резерв
174	50:07:0070121:1185	912	1 778 400,00	195 000,00	резерв
175	50:07:0070121:1110	914	1 782 300,00	195 000,00	резерв
176	50:07:0070121:1166	901	1 756 950,00	195 000,00	перераспределен
177	50:07:0070121:984	932	1 817 400,00	195 000,00	резерв
178	50:07:0070121:1115	920	1 794 000,00	195 000,00	резерв
179	50:07:0070121:1109	921	1 795 950,00	195 000,00	резерв
180	50:07:0070121:1139	923	1 799 850,00	195 000,00	резерв
181	50:07:0070121:1174	925	1 803 750,00	195 000,00	резерв
182	50:07:0070121:1175	929	1 811 550,00	195 000,00	резерв
183	50:07:0070121:985	929	1 811 550,00	195 000,00	резерв
184	50:07:0070121:996	928	1 809 600,00	195 000,00	резерв
185	50:07:0070121:1007	928	1 809 600,00	195 000,00	резерв
186	50:07:0070121:1018	929	1 811 550,00	195 000,00	резерв
187	50:07:0070121:1029	931	1 815 450,00	195 000,00	резерв
188	50:07:0070121:1040	935	1 823 250,00	195 000,00	резерв
189	50:07:0070121:1051	936	1 825 200,00	195 000,00	резерв
190	50:07:0070121:1095	939	1 831 050,00	195 000,00	резерв
